original,transformed,Label
She has a new phone.,She does not have a new phone.,Positive to Negative
I wouldn't want to live there.,I would prefer not to live there.,Negative to Positive
We believe in honest communication.,We do not believe in honest communication.,Positive to Negative
"He complained, ""The queue for the roller coaster is too long.""",He complained that the queue for the roller coaster was too long.,Direct to Indirect Speech
"She confided, ""I'm really struggling with this.""",She confided that she was really struggling with that.,Direct to Indirect Speech
"She offered, ""I can cook dinner tonight.""",She offered that she could cook dinner that night.,Direct to Indirect Speech
I have an appointment.,I do not have an appointment.,Positive to Negative
She doesn't like surprises.,She dislikes surprises.,Negative to Positive
"My friend said, ""I'll meet you at the cinema tonight.""",My friend said that she would meet me at the cinema that night.,Direct to Indirect Speech
"She cautioned him, ""Don't trust everything you hear.""",She cautioned him not to trust everything he heard.,Direct to Indirect Speech
"She said, ""I will visit my grandparents next weekend.""",She said that she would visit her grandparents the following weekend.,Direct to Indirect Speech
The baby is awake.,The baby is not awake.,Positive to Negative
The damage had been estimated at a high cost.,They had estimated the damage at a high cost.,Passive to Active
The news had been leaked to the press.,Someone had leaked the news to the press.,Passive to Active
The principal awarded the most diligent student a prize.,The most diligent student was awarded a prize by the principal.,Active to Passive
The tickets will be mailed out tomorrow.,We will mail out the tickets tomorrow.,Passive to Active
I wouldn't want to live without art.,I find art essential to living.,Negative to Positive
"She complained bitterly, ""It's unfair! I deserve better.""",She complained bitterly that it was unfair and that she deserved better.,Direct to Indirect Speech
He never admits his mistakes.,He always denies his mistakes.,Negative to Positive
The computer works well.,The computer does not work well.,Positive to Negative
"He complained, ""My head is throbbing.""",He complained that his head was throbbing.,Direct to Indirect Speech
The book is being adapted for television.,They are adapting the book for television.,Passive to Active
He painted the entire room.,He did not paint the entire room.,Positive to Negative
The letter had been sent to the wrong department.,I had sent the letter to the wrong department.,Passive to Active
"The guard warned, ""Do not cross this line.""",The guard warned us not to cross that line.,Direct to Indirect Speech
"The child demanded, ""I want to watch cartoons!""",The child demanded that he wanted to watch cartoons.,Direct to Indirect Speech
I don't understand the question.,I misunderstand the question.,Negative to Positive
The news had been anticipated for days.,People had anticipated the news for days.,Passive to Active
Her performance amazed the audience.,The audience was amazed by her performance.,Active to Passive
She doesn't like to compromise.,She dislikes compromise.,Negative to Positive
The new equipment is being used effectively.,They are using the new equipment effectively.,Passive to Active
The new product is being marketed aggressively.,The company is marketing the new product aggressively.,Passive to Active
She's not a very good leader.,She's a poor leader.,Negative to Positive
He picked up the phone.,He did not pick up the phone.,Positive to Negative
The cold weather forced them indoors.,They were forced indoors by the cold weather.,Active to Passive
The manager will sign the contracts.,The contracts will be signed by the manager.,Active to Passive
You might catch a cold.,You might not catch a cold.,Positive to Negative
His dedication inspired his entire team.,His entire team was inspired by his dedication.,Active to Passive
It's not a common occurrence.,It's a rare occurrence.,Negative to Positive
The movie ended late.,The movie did not end late.,Positive to Negative
The water is not safe to drink.,The water is unsafe to drink.,Negative to Positive
The sudden explosion startled the residents.,The residents were startled by the sudden explosion.,Active to Passive
"The conductor announced, ""The next stop is Central Station.""",The conductor announced that the next stop was Central Station.,Direct to Indirect Speech
The project is not yet complete.,The project is still incomplete.,Negative to Positive
She promised that she would always support him.,"She promised, 'I will always support you.'",Indirect to Direct Speech
New software is being developed.,A team is developing new software.,Passive to Active
I am studying English grammar.,I am not studying English grammar.,Positive to Negative
"He wondered, ""Will the world ever be truly peaceful?""",He wondered if the world would ever be truly peaceful.,Direct to Indirect Speech
She asked who I was waiting for then.,"She asked, 'Who are you waiting for now?'",Indirect to Direct Speech
The guests are being welcomed by the host.,The host is welcoming the guests.,Passive to Active
She's not a very good writer.,She's a poor writer.,Negative to Positive
She works in an office.,She does not work in an office.,Positive to Negative
"The student asked, ""May I use the restroom?""",The student asked if he might use the restroom.,Direct to Indirect Speech
The government is introducing new laws.,New laws are being introduced by the government.,Active to Passive
She will not tolerate disrespect.,She will punish disrespect.,Negative to Positive
The answer was correct.,The answer was not correct.,Positive to Negative
I don't accept excuses.,I reject excuses.,Negative to Positive
The news had been spread quickly.,They had spread the news quickly.,Passive to Active
"He asserted, ""My opinion is valid and must be heard.""",He asserted that his opinion was valid and had to be heard.,Direct to Indirect Speech
"He speculated, ""It might rain later today.""",He speculated that it might rain later that day.,Direct to Indirect Speech
I have a lot of energy.,I do not have a lot of energy.,Positive to Negative
We will manage somehow.,We will not manage somehow.,Positive to Negative
She commented that the dress was beautiful.,"She commented, 'The dress is beautiful.'",Indirect to Direct Speech
The patient was examined by the doctor.,The doctor examined the patient.,Passive to Active
The old castle was renovated last year.,They renovated the old castle last year.,Passive to Active
The author will release his new novel next month.,His new novel will be released by the author next month.,Active to Passive
"They informed us, ""We're going on a road trip next month.""",They informed us that they were going on a road trip the following month.,Direct to Indirect Speech
"She exclaimed, ""What a thrilling experience!""",She exclaimed that it was a thrilling experience.,Direct to Indirect Speech
The report is being compiled by the research team.,The research team is compiling the report.,Passive to Active
The old computer had been replaced.,We had replaced the old computer.,Passive to Active
They were discussing the new policy.,The new policy was being discussed by them.,Active to Passive
He is delivering a keynote address at the conference.,A keynote address is being delivered by him at the conference.,Active to Passive
"They exclaimed, ""This view is absolutely breathtaking!""",They exclaimed that that view was absolutely breathtaking.,Direct to Indirect Speech
I don't like crowded places.,I dislike crowded places.,Negative to Positive
The mechanic repairs cars.,Cars are repaired by the mechanic.,Active to Passive
We are going to the concert tonight.,We are not going to the concert tonight.,Positive to Negative
His request was granted.,They granted his request.,Passive to Active
She had a pleasant surprise.,She did not have a pleasant surprise.,Positive to Negative
"She suggested, ""Let's try that new restaurant.""",She suggested that they try that new restaurant.,Direct to Indirect Speech
The committee approved the proposal.,The proposal was approved by the committee.,Active to Passive
We will meet them there.,We will not meet them there.,Positive to Negative
The bank gave her a significant bonus.,A significant bonus was given to her by the bank.,Active to Passive
The artwork has been sold at auction.,They have sold the artwork at auction.,Passive to Active
"He exclaimed in frustration, ""I can't believe I lost my wallet!""",He exclaimed in frustration that he couldn't believe he had lost his wallet.,Direct to Indirect Speech
"He wondered, ""Why do birds migrate?""",He wondered why birds migrated.,Direct to Indirect Speech
We didn't hear the announcement.,We missed the announcement.,Negative to Positive
He isn't very patient.,He is impatient.,Negative to Positive
She doesn't like to draw attention to herself.,She prefers to remain unnoticed.,Negative to Positive
"He reminded her, ""You have a meeting with the client on Monday.""",He reminded her that she had a meeting with the client on Monday.,Direct to Indirect Speech
We will explore the city.,We will not explore the city.,Positive to Negative
It's not a common belief.,It's an uncommon belief.,Negative to Positive
"She advised, ""You should always be punctual for appointments.""",She advised me that I should always be punctual for appointments.,Direct to Indirect Speech
The city was established in the 17th century.,They established the city in the 17th century.,Passive to Active
The cat is sleeping.,The cat is not sleeping.,Positive to Negative
The meeting is being organized by the assistant.,The assistant is organizing the meeting.,Passive to Active
The company prioritizes employee well-being.,Employee well-being is prioritized by the company.,Active to Passive
He is talking to his friend.,He is not talking to his friend.,Positive to Negative
He advised me to save money for the future.,"He advised me, 'Save money for the future.'",Indirect to Direct Speech
The unexpected news upset everyone.,Everyone was upset by the unexpected news.,Active to Passive
Thousands of people visit the botanical garden every spring.,The botanical garden is visited by thousands of people every spring.,Active to Passive
"He inquired, ""When did you arrive here?""",He inquired when I had arrived there.,Direct to Indirect Speech
The old laws were updated by the legislature.,The legislature updated the old laws.,Passive to Active
The material is not durable.,The material is not resistant.,Negative to Positive
She doesn't like to be interrupted.,She dislikes interruptions.,Negative to Positive
The supervisor instructed the employees to follow safety protocols.,"The supervisor instructed the employees, 'Follow safety protocols.'",Indirect to Direct Speech
She works efficiently.,She does not work efficiently.,Positive to Negative
They announced that the concert had been cancelled.,"They announced, 'The concert has been cancelled.'",Indirect to Direct Speech
You must submit the report by Friday.,You must not submit the report by Friday.,Positive to Negative
The children were decorating the classroom for the party.,The classroom was being decorated by the children for the party.,Active to Passive
It's not an essential item.,It's a non-essential item.,Negative to Positive
"The newspaper reported, ""The stock market fell sharply.""",The newspaper reported that the stock market had fallen sharply.,Direct to Indirect Speech
"The sign read, ""Authorised Personnel Only.""",The sign read that it was for authorised personnel only.,Direct to Indirect Speech
The report was written by the intern.,The intern wrote the report.,Passive to Active
He helped me move.,He did not help me move.,Positive to Negative
The dog barked all night.,The dog did not bark all night.,Positive to Negative
The weather is unpredictable.,The weather is not unpredictable.,Positive to Negative
They visit us often.,They do not visit us often.,Positive to Negative
"My father often said, ""Honesty is the best policy.""",My father often said that honesty was the best policy.,Direct to Indirect Speech
It's not a simple explanation.,It's a complex explanation.,Negative to Positive
The contract has been reviewed by our lawyers.,Our lawyers have reviewed the contract.,Passive to Active
He warned them not to cross the line.,"He warned them, 'Do not cross the line!'",Indirect to Direct Speech
I believe in second chances.,I do not believe in second chances.,Positive to Negative
The problem was caused by external factors.,External factors caused the problem.,Passive to Active
The victim was taken to the hospital.,Paramedics took the victim to the hospital.,Passive to Active
They haven't replied to my message.,My message remains unreplied.,Negative to Positive
The new software is being developed in-house.,They are developing the new software in-house.,Passive to Active
"The sign clearly stated, ""Emergency Exit Only.""",The sign clearly stated that it was for emergency exit only.,Direct to Indirect Speech
The decision confused everyone.,Everyone was confused by the decision.,Active to Passive
It's not a clear distinction.,It's an unclear distinction.,Negative to Positive
Complaints are often handled by customer service.,Customer service often handles complaints.,Passive to Active
"The security guard ordered, ""Do not enter without permission.""",The security guard ordered them not to enter without permission.,Direct to Indirect Speech
The movie is being filmed in Italy.,They are filming the movie in Italy.,Passive to Active
"He confirmed, ""Yes, I saw him at the station.""",He confirmed that he had seen him at the station.,Direct to Indirect Speech
The secret had been discovered by a journalist.,A journalist had discovered the secret.,Passive to Active
The management will review the quarterly sales figures.,The quarterly sales figures will be reviewed by the management.,Active to Passive
The documents were signed by the director.,The director signed the documents.,Passive to Active
"He boasted, ""I've traveled to over twenty countries.""",He boasted that he had traveled to over twenty countries.,Direct to Indirect Speech
"They grumbled, ""We haven't received our payment yet.""",They grumbled that they hadn't received their payment yet.,Direct to Indirect Speech
The company has offered many recent graduates entry-level positions.,Many recent graduates have been offered entry-level positions by the company.,Active to Passive
The old bridge has been closed for repairs.,They have closed the old bridge for repairs.,Passive to Active
She's not a morning person.,She's a night owl.,Negative to Positive
"The security guard ordered, ""Do not touch the exhibits.""",The security guard ordered them not to touch the exhibits.,Direct to Indirect Speech
The entire fleet was destroyed by the enemy.,The enemy destroyed the entire fleet.,Passive to Active
The manager instructed the team to finalize the report.,"The manager instructed the team, 'Finalize the report!'",Indirect to Direct Speech
"He asked politely, ""Could you please pass me the salt?""",He asked politely if I could please pass him the salt.,Direct to Indirect Speech
I don't think that's a fair price.,I think that's an unfair price.,Negative to Positive
He was washing the car.,The car was being washed by him.,Active to Passive
The fence was broken by the falling tree.,The falling tree broke the fence.,Passive to Active
We didn't find any defects.,All items were flawless.,Negative to Positive
The old man whispered that he had seen a ghost.,"The old man whispered, 'I saw a ghost!'",Indirect to Direct Speech
The children were being taught proper etiquette.,The governess was teaching the children proper etiquette.,Passive to Active
He wondered where all the people had gone.,"He wondered, 'Where have all the people gone?'",Indirect to Direct Speech
The new law will be debated in parliament.,Parliament will debate the new law.,Passive to Active
Someone was watching the house.,The house was being watched.,Active to Passive
New ideas are being generated by the team.,The team is generating new ideas.,Passive to Active
We didn't find any clues.,We found no clues.,Negative to Positive
He never offers a helping hand.,He always withholds a helping hand.,Negative to Positive
The proposal is not realistic.,The proposal is unrealistic.,Negative to Positive
Information is shared through various channels.,We share information through various channels.,Passive to Active
The police were questioning several witnesses.,Several witnesses were being questioned by the police.,Active to Passive
The management will implement the new strategy soon.,The new strategy will be implemented by the management soon.,Active to Passive
The information isn't reliable.,The information is unreliable.,Negative to Positive
We have seen that movie before.,That movie has been seen by us before.,Active to Passive
The new policy has been well-received.,People have well-received the new policy.,Passive to Active
The problem is being discussed by the team.,The team is discussing the problem.,Passive to Active
The children are being fed by their parents.,Their parents are feeding the children.,Passive to Active
"He told me, ""I've already booked the tickets.""",He told me that he had already booked the tickets.,Direct to Indirect Speech
"He pointed out, ""The error is in the third paragraph.""",He pointed out that the error was in the third paragraph.,Direct to Indirect Speech
He painted an incredible landscape.,An incredible landscape was painted by him.,Active to Passive
"The children shouted, ""We want to play outside!""",The children shouted that they wanted to play outside.,Direct to Indirect Speech
The sun rises in the east.,The sun does not rise in the east.,Positive to Negative
The project is not viable.,The project is unviable.,Negative to Positive
The house is big.,The house is not big.,Positive to Negative
His novel has been translated into multiple languages.,Translators have translated his novel into multiple languages.,Passive to Active
The documents are being filed.,The secretary is filing the documents.,Passive to Active
The child was comforted by his mother.,His mother comforted the child.,Passive to Active
I asked him if he could help me with my luggage.,"I asked him, 'Can you help me with my luggage?'",Indirect to Direct Speech
We will go to the cinema.,We will not go to the cinema.,Positive to Negative
The solution is not simple.,The solution is complex.,Negative to Positive
The air is fresh.,The air is not fresh.,Positive to Negative
The decision was final.,The decision was not final.,Positive to Negative
"She informed the police, ""I saw a suspicious car parked outside.""",She informed the police that she had seen a suspicious car parked outside.,Direct to Indirect Speech
Coffee is grown in tropical regions.,Farmers grow coffee in tropical regions.,Passive to Active
They had already found the solution.,The solution had already been found by them.,Active to Passive
The documents are being reviewed for accuracy.,The legal team is reviewing the documents for accuracy.,Passive to Active
He advised me to travel light.,"He advised me, 'Travel light!'",Indirect to Direct Speech
He warned me not to touch the hot stove.,"He warned me, 'Do not touch the hot stove!'",Indirect to Direct Speech
His reputation is being restored.,He is restoring his reputation.,Passive to Active
"My aunt remarked, ""This cake tastes delicious.""",My aunt remarked that the cake tasted delicious.,Direct to Indirect Speech
"She explained patiently, ""You need to press this button first.""",She explained patiently that I needed to press that button first.,Direct to Indirect Speech
He fixed the broken chair.,He did not fix the broken chair.,Positive to Negative
She asked him when he would return.,"She asked him, 'When will you return?'",Indirect to Direct Speech
The bird was saved by the volunteer.,The volunteer saved the bird.,Passive to Active
He never pays attention.,He is always inattentive.,Negative to Positive
Someone broke the priceless vase.,The priceless vase was broken.,Active to Passive
The weather is sunny.,The weather is not sunny.,Positive to Negative
We should be punctual.,We should not be punctual.,Positive to Negative
The sun melted the snow.,The snow was melted by the sun.,Active to Passive
The new system was implemented successfully.,The company implemented the new system successfully.,Passive to Active
The children are drawing pictures.,Pictures are being drawn by the children.,Active to Passive
They weren't prepared for the cold.,They were unprepared for the cold.,Negative to Positive
They were watching a thought-provoking documentary about history.,A thought-provoking documentary about history was being watched by them.,Active to Passive
They called me yesterday.,They did not call me yesterday.,Positive to Negative
The patient is being prepared for surgery.,The nurses are preparing the patient for surgery.,Passive to Active
They proposed that they celebrate their anniversary with a trip.,"They proposed, 'Let's celebrate our anniversary with a trip.'",Indirect to Direct Speech
He reminded me to water the plants.,"He reminded me, 'Don't forget to water the plants.'",Indirect to Direct Speech
They had completed the complex scientific research on schedule.,The complex scientific research had been completed by them on schedule.,Active to Passive
She said that she was going to the market.,"She said, 'I am going to the market.'",Indirect to Direct Speech
I wouldn't want to live anywhere else.,I want to live right here.,Negative to Positive
The severe economic crisis affected millions.,Millions were affected by the severe economic crisis.,Active to Passive
The book is being read by millions worldwide.,Millions worldwide are reading the book.,Passive to Active
"She asked innocently, ""Why do birds sing?""",She asked innocently why birds sang.,Direct to Indirect Speech
They have received the package.,They have not received the package.,Positive to Negative
The strong wind damaged the trees.,The trees were damaged by the strong wind.,Active to Passive
"The child demanded, ""I want to watch the show!""",The child demanded that he wanted to watch the show.,Direct to Indirect Speech
The new law will be enforced next month.,The government will enforce the new law next month.,Passive to Active
They haven't completed their training.,Their training is incomplete.,Negative to Positive
I don't think it's fair.,I think it's unfair.,Negative to Positive
"The professor explained, ""The theory of relativity is complex.""",The professor explained that the theory of relativity was complex.,Direct to Indirect Speech
The rules should be followed strictly.,Everyone should follow the rules strictly.,Passive to Active
It's not an essential component.,It's a non-essential component.,Negative to Positive
My neighbor advised me to water my plants regularly.,"My neighbor advised me, 'Water your plants regularly.'",Indirect to Direct Speech
He denied that he had cheated on the exam.,"He denied, 'I did not cheat on the exam.'",Indirect to Direct Speech
They have bought a new house recently.,They have not bought a new house recently.,Positive to Negative
He will have finished the assignment.,The assignment will have been finished by him.,Active to Passive
They haven't completed the task.,The task is incomplete.,Negative to Positive
She asked him why he was late.,"She asked him, 'Why are you late?'",Indirect to Direct Speech
His request was considered.,They considered his request.,Passive to Active
It's not an easy decision.,It's a difficult decision.,Negative to Positive
Someone stole my purse yesterday.,My purse was stolen yesterday.,Active to Passive
"They promised, ""We will complete the work by the deadline.""",They promised that they would complete the work by the deadline.,Direct to Indirect Speech
The artwork was inspired by nature.,Nature inspired the artwork.,Passive to Active
Applications are being reviewed by the HR department.,The HR department is reviewing applications.,Passive to Active
The award will be presented by the mayor.,The mayor will present the award.,Passive to Active
Someone handed her the documents.,The documents were handed to her.,Active to Passive
Someone broke the windowpane last night.,The windowpane was broken last night.,Active to Passive
You must listen to the expert.,You must not listen to the expert.,Positive to Negative
The book is not interesting.,The book is uninteresting.,Negative to Positive
The new road was officially opened.,The mayor officially opened the new road.,Passive to Active
It's not a realistic goal.,It's an unrealistic goal.,Negative to Positive
She couldn't keep her composure.,She lost her composure.,Negative to Positive
We are having a quiet evening.,We are not having a quiet evening.,Positive to Negative
The report is being prepared for the presentation.,The assistant is preparing the report for the presentation.,Passive to Active
She had finished the race.,She had not finished the race.,Positive to Negative
They have eaten lunch.,They have not eaten lunch.,Positive to Negative
"The old woman sighed, ""I miss my youth.""",The old woman sighed that she missed her youth.,Direct to Indirect Speech
The teacher graded the exams.,The exams were graded by the teacher.,Active to Passive
We didn't offer any help.,We offered no help.,Negative to Positive
The manager assigned each department a specific budget.,Each department was assigned a specific budget by the manager.,Active to Passive
The old records were archived carefully.,They archived the old records carefully.,Passive to Active
She wouldn't back down from a challenge.,She embraced challenges.,Negative to Positive
We didn't find any errors.,We found no errors.,Negative to Positive
"The coach shouted, ""Push harder!""",The coach shouted at them to push harder.,Direct to Indirect Speech
The problem can be identified with further analysis.,We can identify the problem with further analysis.,Passive to Active
They have brought gifts.,They have not brought gifts.,Positive to Negative
The new bridge will be opened next month.,The city will open the new bridge next month.,Passive to Active
The committee might approve the revised plan.,The revised plan might be approved by the committee.,Active to Passive
He is running a marathon next week.,He is not running a marathon next week.,Positive to Negative
The audience cheered that it was a brilliant performance.,"The audience cheered, 'What a brilliant performance!'",Indirect to Direct Speech
They love going to concerts.,They do not love going to concerts.,Positive to Negative
We didn't consider the risks.,We disregarded the risks.,Negative to Positive
I like to take photos.,I do not like to take photos.,Positive to Negative
They have already eaten dinner.,They have not already eaten dinner.,Positive to Negative
"She explained, ""I lost my keys on the way home.""",She explained that she had lost her keys on the way home.,Direct to Indirect Speech
She doesn't follow instructions well.,She often disregards instructions.,Negative to Positive
The old bridge has been reinforced.,Engineers have reinforced the old bridge.,Passive to Active
You must obtain legal advice before signing this contract.,Legal advice must be obtained before signing this contract.,Active to Passive
The awards ceremony will be held next month.,They will hold the awards ceremony next month.,Passive to Active
She wouldn't give up her fight.,She persisted in her fight.,Negative to Positive
The weather wasn't pleasant.,The weather was unpleasant.,Negative to Positive
The concert tickets will be distributed tomorrow.,They will distribute the concert tickets tomorrow.,Passive to Active
It's not a good place to live.,It's a bad place to live.,Negative to Positive
"The guard yelled, ""Stop right there!""",The guard yelled for them to stop right there.,Direct to Indirect Speech
"He reassured me, ""Don't worry, everything will be fine.""","He reassured me not to worry, and that everything would be fine.",Direct to Indirect Speech
"My neighbor wondered, ""Is the new park open yet?""",My neighbor wondered if the new park was open yet.,Direct to Indirect Speech
He never takes responsibility.,He always shirks responsibility.,Negative to Positive
"She asked, ""Have you finished reading that book?""",She asked if I had finished reading that book.,Direct to Indirect Speech
She doesn't like routine.,She dislikes routine.,Negative to Positive
"The manager announced, ""The company picnic is scheduled for July.""",The manager announced that the company picnic was scheduled for July.,Direct to Indirect Speech
We didn't follow the protocol.,We deviated from the protocol.,Negative to Positive
They haven't made any announcements.,They have made no announcements.,Negative to Positive
"She asked innocently, ""How are babies made?""",She asked innocently how babies were made.,Direct to Indirect Speech
The children have broken the window.,The window has been broken by the children.,Active to Passive
"My teacher asked, ""Who wrote 'Romeo and Juliet'?""",My teacher asked who had written 'Romeo and Juliet'.,Direct to Indirect Speech
The new product is being developed.,The company is developing the new product.,Passive to Active
She wouldn't accept defeat.,She refused to accept defeat.,Negative to Positive
The ancient city had been abandoned centuries ago.,They had abandoned the ancient city centuries ago.,Passive to Active
My friend suggested that we visit the new museum.,"My friend suggested, 'Let's visit the new museum.'",Indirect to Direct Speech
He confessed that he had cheated on his diet.,"He confessed, 'I cheated on my diet.'",Indirect to Direct Speech
She had a busy day.,She did not have a busy day.,Positive to Negative
Birds build nests.,Nests are built by birds.,Active to Passive
It's not an original idea.,It's a derivative idea.,Negative to Positive
I am going to work late.,I am not going to work late.,Positive to Negative
The new law will restrict certain activities.,Certain activities will be restricted by the new law.,Active to Passive
The storm uprooted many trees.,Many trees were uprooted by the storm.,Active to Passive
"The child asked, ""Can I have a pet dog?""",The child asked if he could have a pet dog.,Direct to Indirect Speech
"She confirmed, ""The package has been shipped.""",She confirmed that the package had been shipped.,Direct to Indirect Speech
"They advised, ""You should invest in renewable energy.""",They advised me that I should invest in renewable energy.,Direct to Indirect Speech
The secret had been kept for years.,They had kept the secret for years.,Passive to Active
The mistake was recognized immediately.,They recognized the mistake immediately.,Passive to Active
"She exclaimed, ""This concert is electrifying!""",She exclaimed that that concert was electrifying.,Direct to Indirect Speech
He is planning a surprise party.,He is not planning a surprise party.,Positive to Negative
They like to travel.,They do not like to travel.,Positive to Negative
The workers completed the construction ahead of time.,The construction was completed ahead of time by the workers.,Active to Passive
"He demanded, ""Give me back my money!""",He demanded that I give him back his money.,Direct to Indirect Speech
I like vegetables.,I do not like vegetables.,Positive to Negative
They weren't aware of the new policy.,They were unaware of the new policy.,Negative to Positive
"The general ordered, ""Fire at will!""",The general ordered them to fire at will.,Direct to Indirect Speech
She likes to drink coffee in the morning.,She does not like to drink coffee in the morning.,Positive to Negative
It's not a straightforward answer.,It's a complex answer.,Negative to Positive
Someone has moved the valuable painting.,The valuable painting has been moved.,Active to Passive
The song is popular.,The song is not popular.,Positive to Negative
"He exclaimed, ""What a shocking revelation!""",He exclaimed that it was a shocking revelation.,Direct to Indirect Speech
The children shouted that they hated vegetables.,"The children shouted, 'We hate vegetables!'",Indirect to Direct Speech
The children are being looked after by a babysitter.,A babysitter is looking after the children.,Passive to Active
The service is not reliable.,The service is unreliable.,Negative to Positive
The artwork was created by a famous artist.,A famous artist created the artwork.,Passive to Active
They enjoy playing sports.,They do not enjoy playing sports.,Positive to Negative
It's not a common occurrence here.,It's a rare occurrence here.,Negative to Positive
He inquired about the price of the car.,"He inquired, 'What is the price of the car?'",Indirect to Direct Speech
The news deeply affected her.,She was deeply affected by the news.,Active to Passive
"He wondered, ""Why do we dream?""",He wondered why they dreamt.,Direct to Indirect Speech
"The old woman sighed, ""Oh, for the good old days.""","The old woman sighed, wishing for the good old days.",Direct to Indirect Speech
You should study more.,You should not study more.,Positive to Negative
My neighbor suggested that we share gardening tips.,"My neighbor suggested, 'Let's share gardening tips.'",Indirect to Direct Speech
We will celebrate later.,We will not celebrate later.,Positive to Negative
The teacher announced that the test would be held the day after tomorrow.,"The teacher announced, 'The test will be held the day after tomorrow.'",Indirect to Direct Speech
The painting was stolen from the museum.,Someone stole the painting from the museum.,Passive to Active
They have finished their studies.,They have not finished their studies.,Positive to Negative
They love to travel.,They do not love to travel.,Positive to Negative
I don't think I can do it.,I think I am incapable of doing it.,Negative to Positive
The botanist explained that plants need sunlight to grow.,"The botanist explained, 'Plants need sunlight to grow.'",Indirect to Direct Speech
They had informed the passengers about the boarding gate change.,The passengers had been informed about the boarding gate change by them.,Active to Passive
I asked him what his favorite book was.,"I asked him, 'What is your favorite book?'",Indirect to Direct Speech
He confessed that he had eaten all the cookies.,"He confessed, 'I ate all the cookies.'",Indirect to Direct Speech
She doesn't like crowded places.,She dislikes crowded places.,Negative to Positive
The results satisfied the researchers.,The researchers were satisfied by the results.,Active to Passive
"He advised, ""You should always be prepared for anything.""",He advised me that I should always be prepared for anything.,Direct to Indirect Speech
My friend said that she was taking a photography class.,"My friend said, 'I am taking a photography class.'",Indirect to Direct Speech
"She exclaimed, ""How wonderful!""",She exclaimed how wonderful it was.,Direct to Indirect Speech
The sky is cloudy.,The sky is not cloudy.,Positive to Negative
He has no intention of changing.,He intends to remain unchanged.,Negative to Positive
We didn't find any evidence.,Evidence was absent.,Negative to Positive
The guests are being served refreshments.,The waitstaff are serving the guests refreshments.,Passive to Active
He regretted that he hadn't told her the truth.,"He regretted, 'I did not tell her the truth.'",Indirect to Direct Speech
I have a new perspective.,I do not have a new perspective.,Positive to Negative
They will build a new stadium.,A new stadium will be built by them.,Active to Passive
"He admitted, ""I haven't submitted my report yet.""",He admitted that he hadn't submitted his report yet.,Direct to Indirect Speech
All orders are processed within 24 hours.,We process all orders within 24 hours.,Passive to Active
They have attended the concert.,They have not attended the concert.,Positive to Negative
I wouldn't want to trouble you.,I wish not to trouble you.,Negative to Positive
She begged him to stay.,"She begged him, 'Please stay!'",Indirect to Direct Speech
The intense heat damaged the machinery.,The machinery was damaged by the intense heat.,Active to Passive
I don't mind the cold weather.,I tolerate the cold weather.,Negative to Positive
He is preparing dinner.,He is not preparing dinner.,Positive to Negative
We should cherish our natural resources.,Our natural resources should be cherished by us.,Active to Passive
The bridge is being rebuilt.,Construction workers are rebuilding the bridge.,Passive to Active
The committee approved the new budget allocation.,The new budget allocation was approved by the committee.,Active to Passive
The rain was affecting the crops.,The crops were being affected by the rain.,Active to Passive
Someone broke into the house last night.,The house was broken into last night.,Active to Passive
The proposal will be discussed at the next meeting.,We will discuss the proposal at the next meeting.,Passive to Active
You could try again.,You could not try again.,Positive to Negative
"She boasted, ""I've traveled the world by myself.""",She boasted that she had traveled the world by herself.,Direct to Indirect Speech
She asked if I knew the way to the station.,"She asked, 'Do you know the way to the station?'",Indirect to Direct Speech
"My father warned, ""Don't argue with strangers.""",My father warned me not to argue with strangers.,Direct to Indirect Speech
He isn't very trustworthy.,He is untrustworthy.,Negative to Positive
They told us that they would meet us there.,"They told us, 'We will meet you here.'",Indirect to Direct Speech
It's not an effective strategy.,It's an ineffective strategy.,Negative to Positive
"The old man reminisced, ""Life was simpler in my youth.""",The old man reminisced that life had been simpler in his youth.,Direct to Indirect Speech
"He complained, ""My car keeps breaking down.""",He complained that his car kept breaking down.,Direct to Indirect Speech
He is preparing for the exam.,He is not preparing for the exam.,Positive to Negative
The historian explained that the war ended in 1945.,"The historian explained, 'The war ended in 1945.'",Indirect to Direct Speech
The new building has been completed.,Construction workers have completed the new building.,Passive to Active
"The manager announced, ""We are implementing a new software system next month.""",The manager announced that they were implementing a new software system the following month.,Direct to Indirect Speech
He is teaching English.,He is not teaching English.,Positive to Negative
The children were being read a story.,Their teacher was reading the children a story.,Passive to Active
The chef prepared a delicious meal.,A delicious meal was prepared by the chef.,Active to Passive
You should exercise regularly.,You should not exercise regularly.,Positive to Negative
The old records were destroyed by fire.,Fire destroyed the old records.,Passive to Active
"My brother told me, ""I saw a beautiful rainbow this morning.""",My brother told me that he had seen a beautiful rainbow that morning.,Direct to Indirect Speech
"She exclaimed, ""What a rude person he is!""",She exclaimed that he was a rude person.,Direct to Indirect Speech
He never shares his thoughts.,He always keeps his thoughts to himself.,Negative to Positive
I have a lot of responsibilities.,I do not have a lot of responsibilities.,Positive to Negative
"My grandmother advised, ""Always follow your dreams.""",My grandmother advised me that I should always follow my dreams.,Direct to Indirect Speech
She promised that she would never reveal his secret.,"She promised, 'I will never reveal your secret.'",Indirect to Direct Speech
"She commented, ""The weather is lovely today.""",She commented that the weather was lovely that day.,Direct to Indirect Speech
